timestamp,success,latency,code,size,fill,annotation
1487016021,0,1.61217ms,503,107,,
1487015932,0,1m29.999956574s,503,107,,
1487016022,0,1.42976ms,503,107,,
1487016023,0,1.467983ms,503,107,,
1487016024,0,1.352136ms,503,107,,
1487016025,0,1.600604ms,503,107,,
1487016026,0,1.680797ms,503,107,,
1487016027,0,1.424527ms,503,107,,
1487016028,0,1.610411ms,503,107,,
1487016029,0,1.558313ms,503,107,,
1487016030,0,1.440468ms,503,107,,
1487016031,0,1.668414ms,503,107,,
1487016032,0,1.341011ms,503,107,,
1487016033,0,1.612ms,503,107,,
1487016034,0,1.624155ms,503,107,,
1487016035,0,1.429812ms,503,107,,
1487016036,0,1.611234ms,503,107,,
1487016037,0,1.562389ms,503,107,,
1487016038,0,1.459314ms,503,107,,
1487016039,0,1.480414ms,503,107,,
1487016040,0,2.443345ms,404,73,,
1487016041,0,1.148305ms,404,73,,
1487016042,0,3.336671ms,404,73,,
1487016043,0,1.389631ms,404,73,,
1487016044,0,2.677868ms,404,73,,
1487016045,0,2.198804ms,404,73,,
1487016046,0,2.174455ms,404,73,,
1487016047,0,3.174456ms,404,73,,
1487016048,0,2.505654ms,404,73,,
1487016049,0,2.112479ms,404,73,,"clock_global start
mysql_monitor start
cloud_controller_worker start
router done"
1487016050,0,2.321982ms,404,73,,
1487016051,0,1.334396ms,404,73,,
1487016052,0,2.480078ms,404,73,,
1487016053,0,3.92253ms,404,73,,
1487016054,0,1.139181ms,404,73,,
1487016056,0,4.065051ms,404,73,,
1487016057,0,3.370496ms,404,73,,
1487016058,0,4.446722ms,404,73,,
1487016059,0,2.191904ms,404,73,,
1487016060,0,2.877086ms,404,73,,
1487016061,0,3.277921ms,404,73,,
1487016062,0,2.982412ms,404,73,,
1487016063,0,2.245743ms,404,73,,
1487016064,0,2.815757ms,404,73,,
1487016065,0,1.297817ms,404,73,,
1487016066,0,2.4418ms,404,73,,
1487016067,0,2.380982ms,404,73,,
1487016068,0,2.2703ms,404,73,,
1487016069,0,2.315934ms,404,73,,
1487016070,0,2.762083ms,404,73,,
1487016071,0,1.224088ms,404,73,,
1487016072,0,3.672211ms,404,73,,
1487016073,0,2.440088ms,404,73,,
1487016074,0,1.433362ms,404,73,,
1487016075,0,1.443395ms,404,73,,
1487016076,0,1.421719ms,404,73,,
1487016077,0,2.709072ms,404,73,,
1487016078,0,2.302876ms,404,73,,
1487016079,0,3.456322ms,404,73,,
1487016080,0,4.358031ms,404,73,,
1487016081,0,2.190922ms,404,73,,
1487016082,0,2.36983ms,404,73,,
1487016083,0,3.370827ms,404,73,,
1487016084,0,2.279592ms,404,73,,
1487016085,0,1.447444ms,404,73,,
1487016086,0,2.680318ms,404,73,,
1487016087,0,2.092718ms,404,73,,
1487016088,0,1.294209ms,404,73,,
1487016089,0,2.456087ms,404,73,,
1487016090,0,2.408275ms,404,73,,
1487016091,0,2.594163ms,404,73,,
1487016092,0,2.637608ms,404,73,,
1487016093,0,3.301442ms,404,73,,
1487016094,0,3.516393ms,404,73,,
1487016095,0,2.506451ms,404,73,,
1487016096,0,1.540634ms,404,73,,
1487016097,0,2.244444ms,404,73,,
1487016098,0,2.1256ms,404,73,,
1487016099,0,2.460823ms,404,73,,
1487016100,0,2.584335ms,404,73,,
1487016101,0,2.539846ms,404,73,,
1487016102,0,2.207562ms,404,73,,
1487016103,0,2.271906ms,404,73,,
1487016104,0,1.445435ms,404,73,,mysql_monitor done
1487016105,0,2.556947ms,404,73,,
1487016106,0,2.410491ms,404,73,,
1487016107,0,2.33973ms,404,73,,clock_global done
1487016108,0,2.575032ms,404,73,,"diego_database start
cloud_controller_worker done"
1487016109,0,2.459246ms,404,73,,
1487016110,0,2.65106ms,404,73,,
